,AAPL,ABBV,ABT,AMZN,BA,BAC,C,CSCO,CVX,DIS,GOOGL,HD,IBM,JNJ,JPM,KO,MA,MCD,META,MRK,MSFT,NKE,NVDA,PFE,PG,T,UNH,V,VZ,WMT
2013-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
